plate_id,ctrl_type,value_raw
PLT-A-PHH-Cel-ctrl,neg,102.81
PLT-A-PHH-Cel-ctrl,neg,100.18
PLT-A-PHH-Cel-ctrl,neg,101.29
PLT-A-PHH-Cel-ctrl,neg,95.9
PLT-A-PHH-Cel-ctrl,neg,99.9
PLT-A-PHH-Cel-ctrl,neg,98.31
PLT-A-PHH-Cel-ctrl,neg,97.56
PLT-A-PHH-Cel-ctrl,neg,98.24
PLT-A-PHH-Cel-ctrl,pos,9.73
PLT-A-PHH-Cel-ctrl,pos,10.73
PLT-A-PHH-Cel-ctrl,pos,8.94
PLT-A-PHH-Cel-ctrl,pos,10.02
PLT-A-PHH-Cel-ctrl,pos,9.61
PLT-A-PHH-Cel-ctrl,pos,9.74
PLT-A-PHH-Cel-ctrl,pos,10.8
PLT-A-PHH-Cel-ctrl,pos,10.43
PLT-A-PHH-LDH-ctrl,neg,94.87
PLT-A-PHH-LDH-ctrl,neg,99.53
PLT-A-PHH-LDH-ctrl,neg,100.35
PLT-A-PHH-LDH-ctrl,neg,100.59
PLT-A-PHH-LDH-ctrl,neg,99.26
PLT-A-PHH-LDH-ctrl,neg,96.49
PLT-A-PHH-LDH-ctrl,neg,100.66
PLT-A-PHH-LDH-ctrl,neg,103.45
PLT-A-PHH-LDH-ctrl,pos,8.77
PLT-A-PHH-LDH-ctrl,pos,10.69
PLT-A-PHH-LDH-ctrl,pos,9.74
PLT-A-PHH-LDH-ctrl,pos,9.95
PLT-A-PHH-LDH-ctrl,pos,9.16
PLT-A-PHH-LDH-ctrl,pos,9.73
PLT-A-PHH-LDH-ctrl,pos,11.04
PLT-A-PHH-LDH-ctrl,pos,10.47
PLT-A-PHH-ALT-ctrl,neg,98.41
PLT-A-PHH-ALT-ctrl,neg,100.88
PLT-A-PHH-ALT-ctrl,neg,101.05
PLT-A-PHH-ALT-ctrl,neg,100.55
PLT-A-PHH-ALT-ctrl,neg,97.17
PLT-A-PHH-ALT-ctrl,neg,95.38
PLT-A-PHH-ALT-ctrl,neg,100.11
PLT-A-PHH-ALT-ctrl,neg,99.06
PLT-A-PHH-ALT-ctrl,pos,10.37
PLT-A-PHH-ALT-ctrl,pos,10.56
PLT-A-PHH-ALT-ctrl,pos,10.11
PLT-A-PHH-ALT-ctrl,pos,10.61
PLT-A-PHH-ALT-ctrl,pos,10.18
PLT-A-PHH-ALT-ctrl,pos,10.42
PLT-A-PHH-ALT-ctrl,pos,9.44
PLT-A-PHH-ALT-ctrl,pos,9.86
PLT-A-PHH-Cas-ctrl,neg,97.72
PLT-A-PHH-Cas-ctrl,neg,100.01
PLT-A-PHH-Cas-ctrl,neg,105.2
PLT-A-PHH-Cas-ctrl,neg,100.45
PLT-A-PHH-Cas-ctrl,neg,102.87
PLT-A-PHH-Cas-ctrl,neg,100.18
PLT-A-PHH-Cas-ctrl,neg,101.16
PLT-A-PHH-Cas-ctrl,neg,99.89
PLT-A-PHH-Cas-ctrl,pos,9.86
PLT-A-PHH-Cas-ctrl,pos,9.38
PLT-A-PHH-Cas-ctrl,pos,10.34
PLT-A-PHH-Cas-ctrl,pos,9.32
PLT-A-PHH-Cas-ctrl,pos,10.53
PLT-A-PHH-Cas-ctrl,pos,10.87
PLT-A-PHH-Cas-ctrl,pos,10.29
PLT-A-PHH-Cas-ctrl,pos,9.77
PLT-A-PBM-IFN-ctrl,neg,100.38
PLT-A-PBM-IFN-ctrl,neg,97.1
PLT-A-PBM-IFN-ctrl,neg,99.86
PLT-A-PBM-IFN-ctrl,neg,100.52
PLT-A-PBM-IFN-ctrl,neg,98.2
PLT-A-PBM-IFN-ctrl,neg,97.09
PLT-A-PBM-IFN-ctrl,neg,102.67
PLT-A-PBM-IFN-ctrl,pos,11.0
PLT-A-PBM-IFN-ctrl,pos,9.8
PLT-A-PBM-IFN-ctrl,pos,10.29
PLT-A-PBM-IFN-ctrl,pos,8.07
PLT-A-PBM-IFN-ctrl,pos,9.07
PLT-A-PBM-IFN-ctrl,pos,9.76
PLT-A-PBM-IFN-ctrl,pos,9.14
PLT-A-PBM-IFN-ctrl,pos,10.57
PLT-A-PBM-IL6-ctrl,neg,99.96
PLT-A-PBM-IL6-ctrl,neg,98.2
PLT-A-PBM-IL6-ctrl,neg,99.32
PLT-A-PBM-IL6-ctrl,neg,99.84
PLT-A-PBM-IL6-ctrl,neg,96.59
PLT-A-PBM-IL6-ctrl,neg,96.77
PLT-A-PBM-IL6-ctrl,neg,100.96
PLT-A-PBM-IL6-ctrl,neg,98.95
PLT-A-PBM-IL6-ctrl,pos,7.95
PLT-A-PBM-IL6-ctrl,pos,10.63
PLT-A-PBM-IL6-ctrl,pos,10.22
PLT-A-PBM-IL6-ctrl,pos,9.43
PLT-A-PBM-IL6-ctrl,pos,8.95
PLT-A-PBM-IL6-ctrl,pos,10.67
PLT-A-PBM-IL6-ctrl,pos,10.28
PLT-A-PBM-IL6-ctrl,pos,11.91
PLT-A-PBM-TNF-ctrl,neg,104.1
PLT-A-PBM-TNF-ctrl,neg,103.57
PLT-A-PBM-TNF-ctrl,neg,102.27
PLT-A-PBM-TNF-ctrl,neg,98.16
PLT-A-PBM-TNF-ctrl,neg,101.71
PLT-A-PBM-TNF-ctrl,neg,101.28
PLT-A-PBM-TNF-ctrl,neg,100.89
