result_id,oligo_id,assay_system,endpoint,concentration_um,timepoint_h,replicate_bio,replicate_tech,batch_id,plate_id,cell_donor_id,value_raw,value_normalized,unit,plate_qc_pass,qc_flag,is_anchor
1,OT-00001,PHH,Cell_viability_ATPLite,0.01,24,1,1,BATCH-A,PLT-A-PHH-Cel-0000,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
2,OT-00001,PHH,Cell_viability_ATPLite,0.01,24,1,2,BATCH-A,PLT-A-PHH-Cel-0000,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
3,OT-00001,PHH,Cell_viability_ATPLite,0.01,24,2,1,BATCH-A,PLT-A-PHH-Cel-0000,DONOR-02,1.837,1.837,% vehicle ctrl,True,pass,1
4,OT-00001,PHH,Cell_viability_ATPLite,0.01,24,2,2,BATCH-A,PLT-A-PHH-Cel-0000,DONOR-02,0.0,0.0,% vehicle ctrl,True,pass,1
5,OT-00001,PHH,Cell_viability_ATPLite,0.01,24,3,1,BATCH-A,PLT-A-PHH-Cel-0000,DONOR-03,5.28,5.28,% vehicle ctrl,True,pass,1
6,OT-00001,PHH,Cell_viability_ATPLite,0.01,24,3,2,BATCH-A,PLT-A-PHH-Cel-0000,DONOR-03,11.395,11.395,% vehicle ctrl,True,pass,1
7,OT-00001,PHH,Cell_viability_ATPLite,0.1,24,1,1,BATCH-A,PLT-A-PHH-Cel-0001,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
8,OT-00001,PHH,Cell_viability_ATPLite,0.1,24,1,2,BATCH-A,PLT-A-PHH-Cel-0001,DONOR-01,3.308,3.308,% vehicle ctrl,True,pass,1
9,OT-00001,PHH,Cell_viability_ATPLite,0.1,24,2,1,BATCH-A,PLT-A-PHH-Cel-0001,DONOR-02,1.297,1.297,% vehicle ctrl,True,pass,1
10,OT-00001,PHH,Cell_viability_ATPLite,0.1,24,2,2,BATCH-A,PLT-A-PHH-Cel-0001,DONOR-02,2.183,2.183,% vehicle ctrl,True,pass,1
11,OT-00001,PHH,Cell_viability_ATPLite,0.1,24,3,1,BATCH-A,PLT-A-PHH-Cel-0001,DONOR-03,3.021,3.021,% vehicle ctrl,True,pass,1
12,OT-00001,PHH,Cell_viability_ATPLite,0.1,24,3,2,BATCH-A,PLT-A-PHH-Cel-0001,DONOR-03,0.0,0.0,% vehicle ctrl,True,pass,1
13,OT-00001,PHH,Cell_viability_ATPLite,1.0,24,1,1,BATCH-A,PLT-A-PHH-Cel-0010,DONOR-01,1.151,1.151,% vehicle ctrl,True,pass,1
14,OT-00001,PHH,Cell_viability_ATPLite,1.0,24,1,2,BATCH-A,PLT-A-PHH-Cel-0010,DONOR-01,7.936,7.936,% vehicle ctrl,True,pass,1
15,OT-00001,PHH,Cell_viability_ATPLite,1.0,24,2,1,BATCH-A,PLT-A-PHH-Cel-0010,DONOR-02,5.504,5.504,% vehicle ctrl,True,pass,1
16,OT-00001,PHH,Cell_viability_ATPLite,1.0,24,2,2,BATCH-A,PLT-A-PHH-Cel-0010,DONOR-02,0.0,0.0,% vehicle ctrl,True,pass,1
17,OT-00001,PHH,Cell_viability_ATPLite,1.0,24,3,1,BATCH-A,PLT-A-PHH-Cel-0010,DONOR-03,0.455,0.455,% vehicle ctrl,True,pass,1
